                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.82358,                0.47511,                0.95282,                0.94201,                0.89085,                0.93914,                0.76543,                0.82486,                0.56191,                0.96965,              0.0015149,              0.0015149,              0.0015149
                    101,                0.79691,                0.46228,                0.93763,                0.90848,                0.87676,                0.93555,                0.75529,                0.83335,                0.60909,                0.97988,              0.0015099,              0.0015099,              0.0015099
                    102,                0.80777,                0.47466,                0.94713,                0.92865,                0.87081,                0.93273,                0.75824,                0.84306,                0.58679,                0.99496,               0.001505,               0.001505,               0.001505
                    103,                0.80309,                0.46635,                 0.9495,                0.92318,                0.88867,                 0.9451,                0.76167,                0.84277,                0.56449,                0.99281,              0.0015001,              0.0015001,              0.0015001
                    104,                0.81683,                0.47241,                0.95601,                0.97293,                0.84859,                0.92803,                0.75752,                0.83104,                0.60601,                0.96658,              0.0014951,              0.0014951,              0.0014951
                    105,                0.82493,                0.46839,                0.96261,                0.96812,                0.85545,                  0.925,                0.74447,                0.84761,                0.59722,                0.98808,              0.0014901,              0.0014901,              0.0014901
                    106,                0.81107,                0.46041,                0.95213,                 0.9584,                0.85915,                0.94011,                0.75722,                0.81592,                 0.5975,                0.95817,              0.0014852,              0.0014852,              0.0014852
                    107,                0.81808,                0.46349,                0.94603,                0.93495,                 0.8662,                0.93999,                0.75936,                0.88219,                0.63012,                0.99908,              0.0014803,              0.0014803,              0.0014803
                    108,                0.79561,                0.45145,                 0.9424,                0.94647,                0.87158,                0.93625,                0.75441,                0.84744,                 0.5771,                0.98352,              0.0014753,              0.0014753,              0.0014753
                    109,                0.80458,                0.46168,                 0.9575,                0.96429,                0.85584,                0.92855,                0.75251,                0.88893,                0.58622,                 1.0193,              0.0014703,              0.0014703,              0.0014703
                    110,                0.79265,                0.46003,                0.93931,                0.96936,                0.83803,                0.93539,                0.75067,                0.84981,                0.60388,                0.99402,              0.0014654,              0.0014654,              0.0014654
                    111,                0.78823,                0.45927,                0.93855,                0.95143,                0.84155,                0.94286,                0.75991,                0.81944,                 0.6116,                0.97207,              0.0014605,              0.0014605,              0.0014605
                    112,                0.79846,                0.45594,                0.94756,                0.93891,                0.86592,                 0.9307,                0.76787,                0.82027,                0.61011,                0.99322,              0.0014555,              0.0014555,              0.0014555
                    113,                0.79377,                 0.4612,                0.94166,                0.93246,                0.87676,                0.95543,                0.77823,                0.82847,                0.55283,                0.97589,              0.0014505,              0.0014505,              0.0014505
                    114,                0.80832,                0.46871,                0.94516,                0.93657,                0.86972,                 0.9334,                0.75312,                0.84766,                0.59989,                 0.9948,              0.0014456,              0.0014456,              0.0014456
                    115,                0.79895,                0.45933,                0.94027,                0.95276,                0.88028,                0.94376,                0.75858,                0.86143,                  0.566,                0.99634,              0.0014406,              0.0014406,              0.0014406
                    116,                0.79053,                 0.4506,                0.92875,                0.96151,                0.84507,                0.93622,                0.76386,                0.85694,                0.59952,                0.99889,              0.0014357,              0.0014357,              0.0014357
                    117,                0.79264,                0.44897,                0.94272,                0.94397,                0.85563,                0.93514,                0.75895,                0.84083,                0.59918,                0.98353,              0.0014307,              0.0014307,              0.0014307
                    118,                0.80641,                0.44855,                0.95118,                0.94527,                0.86972,                0.94576,                0.76549,                0.84752,                0.56743,                0.98418,              0.0014258,              0.0014258,              0.0014258
                    119,                0.79205,                0.44953,                0.95165,                0.93011,                0.87324,                0.93431,                0.76013,                0.85862,                 0.5716,                0.99178,              0.0014208,              0.0014208,              0.0014208
                    120,                0.78438,                0.45414,                0.93724,                0.96758,                0.84084,                 0.9365,                0.76115,                0.82602,                0.57642,                0.97365,              0.0014159,              0.0014159,              0.0014159
                    121,                0.79272,                0.45084,                0.94169,                 0.9214,                0.85915,                0.93704,                0.76367,                0.84119,                0.57704,                0.97158,               0.001411,               0.001411,               0.001411
                    122,                0.79495,                0.45594,                0.95084,                0.92988,                0.85211,                 0.9322,                0.75383,                0.87561,                0.60996,                0.99746,               0.001406,               0.001406,               0.001406
                    123,                0.77855,                0.44743,                0.92906,                0.95994,                0.83803,                0.92389,                0.75525,                  0.839,                 0.5922,                0.97553,              0.0014011,              0.0014011,              0.0014011
                    124,                0.77322,                0.43874,                0.93685,                0.95698,                0.82042,                0.92376,                0.75247,                0.82497,                0.64004,                 0.9725,              0.0013961,              0.0013961,              0.0013961
                    125,                0.78116,                0.43567,                0.93268,                0.95945,                0.85211,                0.93614,                0.76419,                0.81538,                0.58263,                0.96174,              0.0013912,              0.0013912,              0.0013912
                    126,                0.79686,                0.44012,                0.94152,                0.94195,                0.85701,                0.93341,                0.77025,                0.84413,                0.59944,                 0.9761,              0.0013862,              0.0013862,              0.0013862
                    127,                0.77194,                0.43542,                0.94137,                 0.9421,                0.85211,                0.92822,                0.76429,                0.83557,                0.56062,                0.97298,              0.0013813,              0.0013813,              0.0013813
                    128,                0.77696,                0.43751,                0.92912,                0.93283,                0.88028,                0.94242,                0.77584,                0.80551,                0.54358,                0.96834,              0.0013763,              0.0013763,              0.0013763
                    129,                0.80207,                0.46367,                0.94709,                0.91072,                0.89795,                0.93859,                0.76152,                0.81623,                0.56334,                 0.9638,              0.0013714,              0.0013714,              0.0013714
                    130,                0.78927,                0.44418,                 0.9425,                0.97018,                0.83099,                0.93079,                0.76703,                0.84586,                0.63214,                0.97482,              0.0013664,              0.0013664,              0.0013664
                    131,                0.77299,                0.43819,                0.93424,                0.96414,                0.83803,                0.93306,                 0.7678,                0.83406,                0.59586,                0.96063,              0.0013615,              0.0013615,              0.0013615
                    132,                0.76716,                0.44001,                0.92818,                0.97264,                0.84155,                0.94087,                0.76525,                0.83244,                0.57931,                0.97602,              0.0013565,              0.0013565,              0.0013565
                    133,                0.77314,                 0.4336,                0.92921,                0.92804,                0.86275,                0.92898,                0.75947,                0.84853,                0.56318,                0.97234,              0.0013515,              0.0013515,              0.0013515
                    134,                0.76578,                 0.4323,                0.91937,                0.95767,                0.85915,                0.94607,                0.76738,                0.85076,                0.56012,                0.99663,              0.0013466,              0.0013466,              0.0013466
                    135,                0.76919,                0.44108,                 0.9388,                0.94641,                0.86972,                0.93253,                0.76184,                0.84218,                0.62747,                0.97588,              0.0013417,              0.0013417,              0.0013417
                    136,                0.78857,                0.44411,                0.93987,                0.95226,                0.85915,                0.93167,                0.76597,                0.80405,                 0.6018,                0.96066,              0.0013367,              0.0013367,              0.0013367
                    137,                0.78354,                0.45745,                0.94065,                 0.9398,                0.89437,                0.94295,                0.76444,                 0.8297,                0.57963,                0.97686,              0.0013318,              0.0013318,              0.0013318
                    138,                0.75674,                0.43384,                0.92999,                0.96436,                0.84507,                0.93106,                0.77304,                0.80354,                0.59065,                0.94912,              0.0013268,              0.0013268,              0.0013268
                    139,                0.76322,                0.43458,                0.93692,                 0.9429,                0.86972,                0.94475,                0.77646,                0.79511,                 0.5755,                 0.9661,              0.0013219,              0.0013219,              0.0013219
                    140,                0.76532,                0.43681,                0.94003,                0.95683,                0.85849,                0.93544,                 0.7657,                0.80134,                0.59337,                0.96289,              0.0013169,              0.0013169,              0.0013169
                    141,                0.76911,                0.43558,                0.92784,                0.95696,                 0.8612,                0.94667,                 0.7739,                0.81559,                0.56315,                0.96842,               0.001312,               0.001312,               0.001312
                    142,                 0.7593,                0.43667,                0.93146,                0.95537,                0.85563,                0.94039,                0.76492,                0.82234,                0.53583,                0.97473,               0.001307,               0.001307,               0.001307
                    143,                0.76562,                0.42424,                0.93109,                0.94206,                 0.8662,                 0.9302,                0.75745,                0.86014,                0.61359,                0.99673,               0.001302,               0.001302,               0.001302
                    144,                0.74848,                0.42992,                0.92739,                0.94057,                0.84859,                0.93233,                 0.7618,                0.81871,                0.59793,                0.96811,              0.0012971,              0.0012971,              0.0012971
                    145,                0.76891,                0.43841,                0.93384,                0.90075,                0.90141,                0.93971,                0.77443,                0.79477,                0.55132,                0.95894,              0.0012922,              0.0012922,              0.0012922
